mode	error	time/s	<Ewe/V>	
3	0	2.429999938613037E+002	-1.7353576E+000
3	0	2.434999938486726E+002	-1.7374656E+000
3	0	2.439999938360415E+002	-1.7451866E+000
3	0	2.444999938234105E+002	-1.7469411E+000
3	0	2.449999938107794E+002	-1.7935733E+000
3	0	2.454999937981484E+002	-1.8176361E+000
3	0	2.459999937855173E+002	-1.8143705E+000
3	0	2.464999937728862E+002	-1.8070844E+000
3	0	2.469999937602552E+002	-1.7961535E+000
3	0	2.474999937476241E+002	-1.7832150E+000
3	0	2.479999937349930E+002	-1.7761508E+000
3	0	2.484999937223620E+002	-1.7774004E+000
3	0	2.489999937097309E+002	-1.7722684E+000
3	0	2.494999936970999E+002	-1.7651014E+000
3	0	2.499999936844688E+002	-1.7641461E+000
3	0	2.504999936718377E+002	-1.7667153E+000
3	0	2.509999936592067E+002	-1.7761147E+000
3	0	2.514999936465756E+002	-1.7809207E+000
3	0	2.519999936339445E+002	-1.7832707E+000
3	0	2.524999936213135E+002	-1.8003998E+000
3	0	2.529999936086824E+002	-1.7992051E+000
3	0	2.534999935960514E+002	-1.7915877E+000
3	0	2.539999935834203E+002	-1.7893809E+000
3	0	2.544999935707892E+002	-1.7882514E+000
3	0	2.549999935581582E+002	-1.7843688E+000
3	0	2.554999935455271E+002	-1.7894024E+000
3	0	2.559999935328960E+002	-1.7993222E+000
3	0	2.564999935202650E+002	-1.8042824E+000
3	0	2.569999935076339E+002	-1.8079660E+000
3	0	2.574999934950029E+002	-1.8088752E+000
3	0	2.579999934823718E+002	-1.8039854E+000
3	0	2.584999934697407E+002	-1.8029904E+000
3	0	2.589999934571097E+002	-1.8050750E+000
3	0	2.594999934444786E+002	-1.8110713E+000
3	0	2.599999934318475E+002	-1.8149741E+000
3	0	2.604999934192165E+002	-1.8044831E+000
3	0	2.609999934065854E+002	-1.7815161E+000
3	0	2.614999933939544E+002	-1.7649258E+000
3	0	2.619999933813233E+002	-1.7621574E+000
3	0	2.624999933686922E+002	-1.7621621E+000
3	0	2.629999933560612E+002	-1.7650223E+000
3	0	2.634999933434301E+002	-1.7649254E+000
3	0	2.639999933307990E+002	-1.7687844E+000
3	0	2.644999933181680E+002	-1.7698963E+000
3	0	2.649999933055369E+002	-1.7649096E+000
3	0	2.654999932929059E+002	-1.7643465E+000
3	0	2.659999932802748E+002	-1.7628069E+000
3	0	2.664999932676437E+002	-1.7653428E+000
3	0	2.669999932550127E+002	-1.7681090E+000
3	0	2.674999932423816E+002	-1.7676120E+000
3	0	2.679999932297505E+002	-1.7708538E+000
3	0	2.684999932171195E+002	-1.7725022E+000
3	0	2.689999932044884E+002	-1.7747191E+000
3	0	2.694999931918574E+002	-1.7739989E+000
3	0	2.699999931792263E+002	-1.7728292E+000
3	0	2.704999931665952E+002	-1.7718240E+000
3	0	2.709999931539642E+002	-1.7687755E+000
3	0	2.714999931413331E+002	-1.7666905E+000
3	0	2.719999931287020E+002	-1.7637360E+000
3	0	2.724999931160710E+002	-1.7566637E+000
3	0	2.729999931034399E+002	-1.7511938E+000
3	0	2.734999930908089E+002	-1.7423952E+000
3	0	2.739999930781778E+002	-1.7413135E+000
3	0	2.744999930655467E+002	-1.7523022E+000
3	0	2.749999930529157E+002	-1.7517310E+000
3	0	2.754999930402846E+002	-1.7523912E+000
3	0	2.759999930276535E+002	-1.7525787E+000
3	0	2.764999930150225E+002	-1.7722020E+000
3	0	2.769999930023914E+002	-1.7729869E+000
3	0	2.774999929897604E+002	-1.7660680E+000
3	0	2.779999929771293E+002	-1.7633727E+000
3	0	2.784999929644982E+002	-1.7618270E+000
3	0	2.789999929518672E+002	-1.7598794E+000
3	0	2.794999929392361E+002	-1.7570963E+000
3	0	2.799999929266050E+002	-1.7473456E+000
3	0	2.804999929139740E+002	-1.7409484E+000
3	0	2.809999929013429E+002	-1.7355021E+000
3	0	2.814999928887119E+002	-1.7356119E+000
3	0	2.819999928760808E+002	-1.7436740E+000
3	0	2.824999928634497E+002	-1.7426232E+000
3	0	2.829999928508187E+002	-1.7398531E+000
3	0	2.834999928381876E+002	-1.7388316E+000
3	0	2.839999928255565E+002	-1.7417332E+000
3	0	2.844999928129255E+002	-1.7438266E+000
3	0	2.849999928002944E+002	-1.7459704E+000
3	0	2.854999927876634E+002	-1.7511457E+000
3	0	2.859999927750323E+002	-1.7580988E+000
3	0	2.864999927624012E+002	-1.7504865E+000
3	0	2.869999927497702E+002	-1.7390676E+000
3	0	2.874999927371391E+002	-1.7315487E+000
3	0	2.879999927245080E+002	-1.7290636E+000
3	0	2.884999927118770E+002	-1.7262572E+000
3	0	2.889999926992459E+002	-1.7251959E+000
3	0	2.894999926866149E+002	-1.7249224E+000
3	0	2.899999926739838E+002	-1.7223157E+000
3	0	2.904999926613527E+002	-1.7202463E+000
3	0	2.909999926487217E+002	-1.7197400E+000
3	0	2.914999926360906E+002	-1.7203586E+000
3	0	2.919999926234595E+002	-1.7189547E+000
3	0	2.924999926108285E+002	-1.7154918E+000
3	0	2.929999925981974E+002	-1.7091721E+000
3	0	2.934999925855664E+002	-1.7068309E+000
3	0	2.939999925729353E+002	-1.7012868E+000
3	0	2.944999925603042E+002	-1.6988289E+000
3	0	2.949999925476732E+002	-1.7119669E+000
3	0	2.954999925350421E+002	-1.7999709E+000
3	0	2.959999925224110E+002	-1.8014255E+000
3	0	2.964999925097800E+002	-1.7973309E+000
3	0	2.969999924971489E+002	-1.7927248E+000
3	0	2.974999924845179E+002	-1.7870567E+000
3	0	2.979999924718868E+002	-1.7795441E+000
3	0	2.984999924592557E+002	-1.7781365E+000
3	0	2.989999924466247E+002	-1.7731233E+000
3	0	2.994999924339936E+002	-1.7671403E+000
3	0	2.999999924213625E+002	-1.7642032E+000
3	0	3.004999924087315E+002	-1.7636205E+000
3	0	3.009999923961004E+002	-1.7614598E+000
3	0	3.014999923834694E+002	-1.7575895E+000
3	0	3.019999923708383E+002	-1.7538965E+000
3	0	3.024999923582072E+002	-1.7536571E+000
3	0	3.029999923455762E+002	-1.7581084E+000
3	0	3.034999923329451E+002	-1.7583137E+000
3	0	3.039999923203141E+002	-1.7553059E+000
3	0	3.044999923076830E+002	-1.7518662E+000
